1	1	-1.0000
1	2	0.2000
1	3	0.2000
1	5	0.2000
1	9	0.2000
1	17	0.2000
2	1	0.2000
2	2	-1.0000
2	4	0.2000
2	6	0.2000
2	10	0.2000
2	18	0.2000
3	1	0.2000
3	3	-1.0000
3	4	0.2000
3	7	0.2000
3	11	0.2000
3	19	0.2000
4	2	0.2000
4	3	0.2000
4	4	-1.0000
4	8	0.2000
4	12	0.2000
4	20	0.2000
5	1	0.2000
5	5	-1.0000
5	6	0.2000
5	7	0.2000
5	13	0.2000
5	21	0.2000
6	2	0.2000
6	5	0.2000
6	6	-1.0000
6	8	0.2000
6	14	0.2000
6	22	0.2000
7	3	0.2000
7	5	0.2000
7	7	-1.0000
7	8	0.2000
7	15	0.2000
7	23	0.2000
8	4	0.2000
8	6	0.2000
8	7	0.2000
8	8	-1.0000
8	16	0.2000
8	24	0.2000
9	1	0.2000
9	9	-1.0000
9	10	0.2000
9	11	0.2000
9	13	0.2000
9	25	0.2000
10	2	0.2000
10	9	0.2000
10	10	-1.0000
10	12	0.2000
10	14	0.2000
10	26	0.2000
11	3	0.2000
11	9	0.2000
11	11	-1.0000
11	12	0.2000
11	15	0.2000
11	27	0.2000
12	4	0.2000
12	10	0.2000
12	11	0.2000
12	12	-1.0000
12	16	0.2000
12	28	0.2000
13	5	0.2000
13	9	0.2000
13	13	-1.0000
13	14	0.2000
13	15	0.2000
13	29	0.2000
14	6	0.2000
14	10	0.2000
14	13	0.2000
14	14	-1.0000
14	16	0.2000
14	30	0.2000
15	7	0.2000
15	11	0.2000
15	13	0.2000
15	15	-1.0000
15	16	0.2000
15	31	0.2000
16	8	0.2000
16	12	0.2000
16	14	0.2000
16	15	0.2000
16	16	-1.0000
16	32	0.2000
17	1	0.2000
17	17	-1.0000
17	18	0.2000
17	19	0.2000
17	21	0.2000
17	25	0.2000
18	2	0.2000
18	17	0.2000
18	18	-1.0000
18	20	0.2000
18	22	0.2000
18	26	0.2000
19	3	0.2000
19	17	0.2000
19	19	-1.0000
19	20	0.2000
19	23	0.2000
19	27	0.2000
20	4	0.2000
20	18	0.2000
20	19	0.2000
20	20	-1.0000
20	24	0.2000
20	28	0.2000
21	5	0.2000
21	17	0.2000
21	21	-1.0000
21	22	0.2000
21	23	0.2000
21	29	0.2000
22	6	0.2000
22	18	0.2000
22	21	0.2000
22	22	-1.0000
22	24	0.2000
22	30	0.2000
23	7	0.2000
23	19	0.2000
23	21	0.2000
23	23	-1.0000
23	24	0.2000
23	31	0.2000
24	8	0.2000
24	20	0.2000
24	22	0.2000
24	23	0.2000
24	24	-1.0000
24	32	0.2000
25	9	0.2000
25	17	0.2000
25	25	-1.0000
25	26	0.2000
25	27	0.2000
25	29	0.2000
26	10	0.2000
26	18	0.2000
26	25	0.2000
26	26	-1.0000
26	28	0.2000
26	30	0.2000
27	11	0.2000
27	19	0.2000
27	25	0.2000
27	27	-1.0000
27	28	0.2000
27	31	0.2000
28	12	0.2000
28	20	0.2000
28	26	0.2000
28	27	0.2000
28	28	-1.0000
28	32	0.2000
29	13	0.2000
29	21	0.2000
29	25	0.2000
29	29	-1.0000
29	30	0.2000
29	31	0.2000
30	14	0.2000
30	22	0.2000
30	26	0.2000
30	29	0.2000
30	30	-1.0000
30	32	0.2000
31	15	0.2000
31	23	0.2000
31	27	0.2000
31	29	0.2000
31	31	-1.0000
31	32	0.2000
32	16	0.2000
32	24	0.2000
32	28	0.2000
32	30	0.2000
32	31	0.2000
32	32	-1.0000
